Country,Headquarters,Industry,CEO,Website,Company Type,Ticker,Revenues ($M),Profits ($M),Market Value ($M),Employees,Assets ($M),Total Stockholder Equity ($M),Profit as % of Revenues,Profits as % of Assets,Profits as % of Stockholder Equity,Earnings Per Share ($),EPS % Change (from 2018),EPS % Change (5 year annual rate),EPS % Change (10 year annual rate),Total Return to Investors (2019),Total Return to Investors (5 year annualized),Total Return to Investors (10 year annualized),Revenues ($M)_cat,Profits ($M)_cat,Market Value ($M)_cat,Employees_cat,Assets ($M)_cat,Total Stockholder Equity ($M)_cat,Earnings Per Share ($)_cat,Revenues ($M)_cat_1,Revenues ($M)_cat_2,Revenues ($M)_cat_3,Revenues ($M)_cat_4,Revenues ($M)_cat_5,Profits ($M)_cat_1,Profits ($M)_cat_2,Profits ($M)_cat_3,Profits ($M)_cat_4,Profits ($M)_cat_5,Market Value ($M)_cat_1,Market Value ($M)_cat_2,Market Value ($M)_cat_3,Market Value ($M)_cat_4,Market Value ($M)_cat_5,Employees_cat_1,Employees_cat_2,Employees_cat_3,Employees_cat_4,Employees_cat_5,Assets ($M)_cat_1,Assets ($M)_cat_2,Assets ($M)_cat_3,Assets ($M)_cat_4,Assets ($M)_cat_5,Total Stockholder Equity ($M)_cat_1,Total Stockholder Equity ($M)_cat_2,Total Stockholder Equity ($M)_cat_3,Total Stockholder Equity ($M)_cat_4,Total Stockholder Equity ($M)_cat_5,Earnings Per Share ($)_cat_1,Earnings Per Share ($)_cat_2,Earnings Per Share ($)_cat_3,Earnings Per Share ($)_cat_4,Earnings Per Share ($)_cat_5
U.S.,Chesterbrook Pa.,Wholesalers: Health Care,Steven H. Collis,https://www.amerisourcebergen.com,Public,ABC,179589.1,855.4,18221.4,21500,39172.0,2878.9,0.5,2.2,29.7,4.04,-46.3,28.1,9.3,16.5,0.5,14.2,5,5,5,4,5,4,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
U.S.,Dublin Ohio,Wholesalers: Health Care,Michael C. Kaufmann,https://www.cardinalhealth.com,Public,CAH,145534.0,1363.0,13988.1,49500,40963.0,6328.0,0.9,3.3,21.5,4.53,459.3,6.0,3.6,18.0,-6.4,7.2,5,5,5,5,5,5,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
U.S.,St. Louis Mo.,Health Care: Insurance and Managed Care,Michael F. Neidorff,https://www.centene.com,Public,CNC,74639.0,1321.0,34862.4,56600,40994.0,12551.0,1.8,3.2,10.5,3.14,38.9,22.8,20.9,9.1,19.3,28.1,5,5,5,5,5,5,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
U.S.,Midland Mich.,Chemicals,James R. Fitterling,https://www.dow.com,Public,DOW,42951.0,-1359.0,21716.0,36500,60524.0,13541.0,-3.2,-2.2,-10.0,-1.84,0.0,0.0,0.0,0.0,0.0,0.0,5,1,5,5,5,5,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
U.S.,Clearwater Fla.,Wholesalers: Electronics and Office Equipment,Richard T. Hume,https://www.techdata.com,Public,TECD,36998.4,374.5,4645.0,15000,13268.6,3119.5,1.0,2.8,12.0,10.27,15.5,17.6,11.2,75.5,17.8,11.9,5,4,3,4,4,4,5,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
U.S.,Miami Fla.,Energy,Michael J. Kasbar,https://www.wfscorp.com,Public,INT,36819.0,178.9,1646.9,5500,5992.4,1890.4,0.5,3.0,9.5,2.69,42.3,-2.9,3.2,104.8,-0.8,5.6,5,3,2,2,3,3,3,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
U.S.,Houston Texas,Pipelines,Wilfred C.W. Chiang,https://www.plainsallamerican.com,Public,PAGP,33669.0,331.0,1021.8,5000,29969.0,2155.0,1.0,1.1,15.4,1.96,-7.1,9.4,0.0,0.5,-17.3,0.0,5,3,1,2,5,3,3,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
U.S.,New York N.Y.,Diversified Financials,Sean M. O'Connor,https://www.intlfcstone.com,Public,SNEX,32897.0,85.1,699.9,2012,9936.1,594.2,0.3,0.9,14.3,4.39,53.0,35.0,4.6,33.5,18.9,12.9,5,2,1,1,4,1,4,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
U.S.,San Jose Calif.,Computers Office Equipment,Antonio F. Neri,https://www.hpe.com,Public,HPE,29135.0,1049.0,12509.8,61600,51803.0,17098.0,3.6,2.0,6.1,0.77,-37.4,0.0,0.0,23.8,0.0,0.0,5,5,5,5,5,5,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
U.S.,Centennial Colo.,Wholesalers: Electronics and Office Equipment,Michael J. Long,https://www.arrow.com,Public,ARW,28916.8,-204.1,4182.9,19300,16400.8,4811.9,-0.7,-1.2,-4.2,-2.44,-130.1,0.0,0.0,22.9,7.9,11.1,5,1,3,4,5,4,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
