Rank,Name,Revenue ($M),Revenue % change,Profit ($M),Profit % change,Assets ($M),Market Value ($M),Change in rank (1000),Employees,Change in rank (500),Year,Revenue_cat,Filter_cat,Profit ($M)_cat,Assets ($M)_cat,Market Value ($M)_cat,Employees_cat,Revenue_cat_1,Revenue_cat_2,Revenue_cat_3,Filter_cat_0,Filter_cat_1,Filter_cat_2,Profit ($M)_cat_1,Profit ($M)_cat_2,Profit ($M)_cat_3,Profit ($M)_cat_4,Profit ($M)_cat_5,Assets ($M)_cat_1,Assets ($M)_cat_2,Assets ($M)_cat_3,Assets ($M)_cat_4,Assets ($M)_cat_5,Market Value ($M)_cat_1,Market Value ($M)_cat_2,Market Value ($M)_cat_3,Market Value ($M)_cat_4,Market Value ($M)_cat_5,Employees_cat_1,Employees_cat_2,Employees_cat_3,Employees_cat_4,Employees_cat_5
11,AmerisourceBergen,146850.0,8.0,1427.9,0.0,33656.0,19229.0,1,18500,1,2017,3,0,5,5,5,4,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
15,Cardinal Health,121546.0,18.5,1427.0,17.4,34122.0,25725.0,6,37300,6,2017,3,0,5,5,5,5,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
34,Phillips 66,72396.0,-16.9,1555.0,-63.2,51653.0,40954.0,-4,14800,-4,2017,3,0,5,5,5,4,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
37,Valero Energy,70166.0,-14.2,2289.0,-42.6,46173.0,29746.0,-5,9996,-5,2017,3,0,5,5,5,3,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
45,Archer Daniels Midland,62346.0,-7.9,1279.0,-30.8,39769.0,26274.0,-4,31800,-4,2017,3,0,5,5,5,5,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
51,Marathon Petroleum,55858.0,-13.5,1174.0,-58.8,44413.0,26679.0,-9,44460,-9,2017,3,0,5,5,5,5,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
53,Humana,54379.0,0.2,614.0,-51.9,25396.0,29743.0,-1,51600,-1,2017,3,0,4,5,5,5,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
57,Sysco,50367.0,3.5,949.6,38.3,16722.0,28048.0,0,51900,0,2017,3,0,5,5,5,5,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
66,Centene,40721.0,78.6,562.0,58.3,20197.0,12271.0,58,30500,58,2017,3,0,4,5,4,5,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
103,World Fuel Services,27016.0,-11.1,126.5,-27.5,5413.0,2535.0,-11,5000,-11,2017,3,0,2,3,2,2,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
