Country,Headquarters,Industry,CEO,Website,Company Type,Ticker,Revenues ($M),Profits ($M),Market Value ($M),Employees,Revenues ($M),Profits ($M),Assets ($M),Total Stockholder Equity ($M),Profit as % of Revenues,Profits as % of Assets,Profits as % of Stockholder Equity,Earnings Per Share ($),EPS % Change (from 2018),EPS % Change (5 year annual rate),EPS % Change (10 year annual rate),Total Return to Investors (2019),Total Return to Investors (5 year annualized),Total Return to Investors (10 year annualized),
U.S.,Bentonville Ark.,General Merchandisers,C. Douglas McMillon,https://www.walmart.com,Public,WMT,$523964,$14881,$321803.3,2200000,$523964,$14881,$236495,$74669,2.8%,6.3%,19.9%,5.19,129.6%,0.5%,3.4%,30.3%,9.4%,11%,
U.S.,Seattle Wash.,Internet Services and Retailing,Jeffrey P. Bezos,https://www.amazon.com,Public,AMZN,$280522,$11588,$970680.1,798000,$280522,$11588,$225248,$62060,4.1%,5.1%,18.7%,23.01,14.3%,-,27.4%,23%,42.9%,30%,
U.S.,Irving Texas,Petroleum Refining,Darren W. Woods,https://www.exxonmobil.com,Public,XOM,$264938,$14340,$160696.3,74900,$264938,$14340,$362597,$191650,5.4%,4%,7.5%,3.36,-31.1%,-15.1%,-1.7%,7.2%,-1.7%,3.5%,
U.S.,Cupertino Calif.,Computers Office Equipment,Timothy D. Cook,https://www.apple.com,Public,AAPL,$260174,$55256,$1112640.8,137000,$260174,$55256,$338516,$90488,21.2%,16.3%,61.1%,11.89,-0.2%,13%,29.5%,89%,23.7%,27.3%,
U.S.,Woonsocket R.I.,Health Care: Pharmacy and Other Services,Larry J. Merlo,https://www.cvshealth.com,Public,CVS,$256776,$6634,$77375.8,290000,$256776,$6634,$222449,$63864,2.6%,3%,10.4%,5.08,-,5.1%,7.1%,17.1%,-2.8%,10.8%,
U.S.,Omaha Neb.,Insurance: Property and Casualty (Stock),Warren E. Buffett,https://www.berkshirehathaway.com,Public,BRKA,$254616,$81417,$442897.1,391500,$254616,$81417,$817729,$424791,32%,10%,19.2%,49828,1937.1%,32.7%,25.4%,11%,8.5%,13.1%,
U.S.,Minnetonka Minn.,Health Care: Insurance and Managed Care,David S. Wichmann,https://www.unitedhealthgroup.com,Public,UNH,$242155,$13839,$236555.2,325000,$242155,$13839,$173889,$57616,5.7%,8%,24%,14.33,17.6%,20.2%,16%,20%,25.7%,27.3%,
U.S.,Irving Texas,Wholesalers: Health Care,Brian S. Tyler,https://www.mckesson.com,Public,MCK,$214319,$34,$21845,70000,$214319,$34,$59672,$8094,-,0.1%,0.4%,0.17,-46.9%,-49.9%,-24.8%,26.8%,-7%,9.2%,
U.S.,Dallas Texas,Telecommunications,John T. Stankey,https://www.att.com,Public,T,$181193,$13903,$209387.5,247800,$181193,$13903,$551669,$184221,7.7%,2.5%,7.5%,1.89,-33.7%,9.7%,-1.1%,45.6%,8.9%,9.2%,
U.S.,Chesterbrook Pa.,Wholesalers: Health Care,Steven H. Collis,https://www.amerisourcebergen.com,Public,ABC,$179589.1,$855.4,$18221.4,21500,$179589.1,$855.4,$39172,$2878.9,0.5%,2.2%,29.7%,4.04,-46.3%,28.1%,9.3%,16.5%,0.5%,14.2%,
U.S.,Mountain View Calif.,Internet Services and Retailing,Sundar Pichai,https://www.abc.xyz,Public,GOOGL,$161857,$34343,$798905.3,118899,$161857,$34343,$275909,$201442,21.2%,12.4%,17%,49.16,12.5%,19%,17%,28.2%,20.3%,15.8%,
