Country,Headquarters,Industry,CEO,Website,Company Type,Ticker,Revenues ($M),Profits ($M),Market Value ($M),Employees,Assets ($M),Total Stockholder Equity ($M),Profit as % of Revenues,Profits as % of Assets,Profits as % of Stockholder Equity,Earnings Per Share ($),EPS % Change (from 2018),EPS % Change (5 year annual rate),EPS % Change (10 year annual rate),Total Return to Investors (2019),Total Return to Investors (5 year annualized),Total Return to Investors (10 year annualized)
U.S.,Bentonville Ark.,General Merchandisers,C. Douglas McMillon,https://www.walmart.com,Public,WMT,523964.0,14881.0,321803.3,2200000,236495.0,74669.0,2.8,6.3,19.9,5.19,129.6,0.5,3.4,30.3,9.4,11.0
U.S.,Seattle Wash.,Internet Services and Retailing,Jeffrey P. Bezos,https://www.amazon.com,Public,AMZN,280522.0,11588.0,970680.1,798000,225248.0,62060.0,4.1,5.1,18.7,23.01,14.3,0.0,27.4,23.0,42.9,30.0
U.S.,Irving Texas,Petroleum Refining,Darren W. Woods,https://www.exxonmobil.com,Public,XOM,264938.0,14340.0,160696.3,74900,362597.0,191650.0,5.4,4.0,7.5,3.36,-31.1,-15.1,-1.7,7.2,-1.7,3.5
U.S.,Cupertino Calif.,Computers Office Equipment,Timothy D. Cook,https://www.apple.com,Public,AAPL,260174.0,55256.0,1112640.8,137000,338516.0,90488.0,21.2,16.3,61.1,11.89,-0.2,13.0,29.5,89.0,23.7,27.3
U.S.,Woonsocket R.I.,Health Care: Pharmacy and Other Services,Larry J. Merlo,https://www.cvshealth.com,Public,CVS,256776.0,6634.0,77375.8,290000,222449.0,63864.0,2.6,3.0,10.4,5.08,0.0,5.1,7.1,17.1,-2.8,10.8
U.S.,Omaha Neb.,Insurance: Property and Casualty (Stock),Warren E. Buffett,https://www.berkshirehathaway.com,Public,BRKA,254616.0,81417.0,442897.1,391500,817729.0,424791.0,32.0,10.0,19.2,49828.0,1937.1,32.7,25.4,11.0,8.5,13.1
U.S.,Minnetonka Minn.,Health Care: Insurance and Managed Care,David S. Wichmann,https://www.unitedhealthgroup.com,Public,UNH,242155.0,13839.0,236555.2,325000,173889.0,57616.0,5.7,8.0,24.0,14.33,17.6,20.2,16.0,20.0,25.7,27.3
U.S.,Irving Texas,Wholesalers: Health Care,Brian S. Tyler,https://www.mckesson.com,Public,MCK,214319.0,34.0,21845.0,70000,59672.0,8094.0,0.0,0.1,0.4,0.17,-46.9,-49.9,-24.8,26.8,-7.0,9.2
U.S.,Dallas Texas,Telecommunications,John T. Stankey,https://www.att.com,Public,T,181193.0,13903.0,209387.5,247800,551669.0,184221.0,7.7,2.5,7.5,1.89,-33.7,9.7,-1.1,45.6,8.9,9.2
U.S.,Chesterbrook Pa.,Wholesalers: Health Care,Steven H. Collis,https://www.amerisourcebergen.com,Public,ABC,179589.1,855.4,18221.4,21500,39172.0,2878.9,0.5,2.2,29.7,4.04,-46.3,28.1,9.3,16.5,0.5,14.2
U.S.,Mountain View Calif.,Internet Services and Retailing,Sundar Pichai,https://www.abc.xyz,Public,GOOGL,161857.0,34343.0,798905.3,118899,275909.0,201442.0,21.2,12.4,17.0,49.16,12.5,19.0,17.0,28.2,20.3,15.8
U.S.,Dearborn Mich.,Motor Vehicles & Parts,James P. Hackett,https://www.ford.com,Public,F,155900.0,47.0,19150.6,190000,258537.0,33185.0,0.0,0.0,0.1,0.01,-98.9,-58.4,-35.9,29.8,-4.2,3.0
U.S.,Bloomfield Conn.,Health Care: Pharmacy and Other Services,David M. Cordani,https://www.cigna.com,Public,CI,153566.0,5104.0,65896.7,73700,155774.0,45338.0,3.3,3.3,11.3,13.44,27.5,11.4,11.0,7.7,14.8,19.3
U.S.,Issaquah Wash.,General Merchandisers,W. Craig Jelinek,https://www.costco.com,Public,COST,152703.0,3659.0,125907.7,201500,45400.0,15243.0,2.4,8.1,24.0,8.26,16.5,12.2,12.8,45.7,18.6,20.4
U.S.,San Ramon Calif.,Petroleum Refining,Michael K. Wirth,https://www.chevron.com,Public,CVX,146516.0,2924.0,136175.9,48200,237428.0,144213.0,2.0,1.2,2.0,1.54,-80.1,-31.4,-11.5,15.2,5.6,8.5
U.S.,Dublin Ohio,Wholesalers: Health Care,Michael C. Kaufmann,https://www.cardinalhealth.com,Public,CAH,145534.0,1363.0,13988.1,49500,40963.0,6328.0,0.9,3.3,21.5,4.53,459.3,6.0,3.6,18.0,-6.4,7.2
U.S.,New York N.Y.,Commercial Banks,James Dimon,https://www.jpmorganchase.com,Public,JPM,142422.0,36431.0,276750.1,256981,2687379.0,261330.0,25.6,1.4,13.9,10.72,19.1,15.2,16.8,46.9,20.4,15.5
U.S.,Detroit Mich.,Motor Vehicles & Parts,Mary T. Barra,https://www.gm.com,Public,GM,137237.0,6732.0,29694.7,164000,228037.0,41792.0,4.9,3.0,16.1,4.57,-17.4,22.6,0.0,14.0,5.3,0.0
U.S.,Deerfield Ill.,Food & Drug Stores,Stefano Pessina,https://www.walgreensbootsalliance.com,Public,WBA,136866.0,3982.0,40528.2,287000,67598.0,23512.0,2.9,5.9,16.9,4.31,-14.7,16.6,7.9,-10.9,-2.9,7.2
U.S.,New York N.Y.,Telecommunications,Hans E. Vestberg,https://www.verizon.com,Public,VZ,131868.0,19265.0,222220.0,135000,291727.0,61395.0,14.6,6.6,31.4,4.65,23.7,14.0,13.7,14.0,10.5,12.3
U.S.,Redmond Wash.,Computer Software,Satya Nadella,https://www.microsoft.com,Public,MSFT,125843.0,39240.0,1199549.7,144000,286556.0,102330.0,31.2,13.7,38.3,5.06,137.6,14.0,12.1,57.5,30.4,20.7
U.S.,Findlay Ohio,Petroleum Refining,Michael J. Hennigan,https://www.marathonpetroleum.com,Public,MPC,124813.0,2637.0,15353.0,60910,98556.0,33694.0,2.1,2.7,7.8,3.97,-24.8,-2.0,0.0,6.1,9.1,0.0
U.S.,Cincinnati Ohio,Food & Drug Stores,W. Rodney McMullen,https://www.thekrogerco.com,Public,KR,122286.0,1659.0,24113.7,435000,45256.0,8602.0,1.4,3.7,19.3,2.04,-45.7,3.5,43.5,7.9,-0.4,12.9
U.S.,Washington D.C.,Diversified Financials,Hugh R. Frater,https://www.fanniemae.com,Public,FNMA,120304.0,14160.0,1841.4,7500,3503319.0,14608.0,11.8,0.4,96.9,0.03,-94.7,0.0,0.0,194.3,8.7,10.2
U.S.,Charlotte N.C.,Commercial Banks,Brian T. Moynihan,https://www.bankofamerica.com,Public,BAC,113589.0,27430.0,185226.9,208131,2434079.0,264810.0,24.1,1.1,10.4,2.75,5.4,50.2,0.0,46.1,16.5,10.0
U.S.,Atlanta Ga.,Specialty Retailers: Other,Craig A. Menear,https://www.homedepot.com,Public,HD,110225.0,11242.0,200665.0,415700,51236.0,-3116.0,10.2,21.9,0.0,10.25,5.3,16.8,20.6,30.4,18.4,25.3
U.S.,Houston Texas,Petroleum Refining,Greg C. Garland,https://www.phillips66.com,Public,PSX,109559.0,3076.0,23490.0,14500,58720.0,24910.0,2.8,5.2,12.3,6.77,-42.6,-4.1,0.0,34.0,12.6,0.0
U.S.,Philadelphia Pa.,Telecommunications,Brian L. Roberts,https://www.comcastcorporation.com,Public,CMCSA,108942.0,13057.0,156533.3,190000,263414.0,82726.0,12.0,5.0,15.8,2.83,11.9,12.1,16.2,34.7,11.1,20.4
U.S.,Indianapolis Ind.,Health Care: Insurance and Managed Care,Gail K. Boudreaux,https://www.antheminc.com,Public,ANTM,104213.0,4807.0,57245.2,70600,77453.0,31728.0,4.6,6.2,15.2,18.47,30.2,15.5,6.5,16.3,20.9,19.6
U.S.,San Francisco Calif.,Commercial Banks,Charles W. Scharf,https://www.wellsfargo.com,Public,WFC,103915.0,19549.0,117365.7,259800,1927555.0,187146.0,18.8,1.0,10.4,4.05,-5.4,-0.2,8.8,21.4,2.7,10.0
U.S.,New York N.Y.,Commercial Banks,Michael L. Corbat,https://www.citigroup.com,Public,C,103449.0,19401.0,88376.5,200000,1951158.0,193242.0,18.8,1.0,10.0,8.04,20.4,29.6,0.0,58.0,9.8,10.1
U.S.,San Antonio Texas,Petroleum Refining,Joseph W. Gorder,https://www.valero.com,Public,VLO,102729.0,2422.0,18531.6,10222,53864.0,21803.0,2.4,4.5,11.1,5.84,-19.9,-3.1,0.0,30.6,17.9,23.1
U.S.,Boston Mass.,Industrial Machinery,H. Lawrence Culp Jr.,https://www.ge.com,Public,GE,95214.0,-4979.0,69406.1,205000,266048.0,28316.0,-5.2,-1.9,-17.6,-0.62,0.0,0.0,0.0,53.9,-12.0,0.3
U.S.,Round Rock Texas,Computers Office Equipment,Michael S. Dell,https://www.delltechnologies.com,Public,DELL,92154.0,4616.0,29246.2,165000,118861.0,-1574.0,5.0,3.9,0.0,6.03,0.0,0.0,0.0,5.2,0.0,0.0
U.S.,New Brunswick N.J.,Pharmaceuticals,Alex Gorsky,https://www.jnj.com,Public,JNJ,82059.0,15119.0,345704.9,132200,157728.0,59471.0,18.4,9.6,25.4,5.63,0.4,-0.2,2.5,16.2,9.8,11.8
U.S.,Minneapolis Minn.,General Merchandisers,Brian C. Cornell,https://www.target.com,Public,TGT,78112.0,3281.0,46574.4,368000,42779.0,11833.0,4.2,7.7,27.7,6.36,15.4,0.0,6.8,99.3,14.7,13.3
U.S.,Armonk N.Y.,Information Technology Services,Arvind Krishna,https://www.ibm.com,Public,IBM,77147.0,9431.0,98551.1,383800,152186.0,20841.0,12.2,6.2,45.3,10.56,10.9,-2.4,0.5,23.6,0.3,3.2
U.S.,Waltham Mass.,Aerospace & Defense,Gregory J. Hayes,https://www.rtx.com,Public,RTX,77046.0,5537.0,81705.3,243200,139716.0,41774.0,7.2,4.0,13.3,6.41,-1.4,-1.2,4.5,43.8,7.9,10.5
U.S.,Chicago Ill.,Aerospace & Defense,David L. Calhoun,https://www.boeing.com,Public,BA,76559.0,-636.0,84148.6,161100,133625.0,-8617.0,-0.8,-0.5,0.0,-1.12,-106.3,0.0,0.0,3.2,23.3,22.6
U.S.,McLean Va.,Diversified Financials,David M. Brickman,https://www.freddiemac.com,Public,FMCC,75125.0,7214.0,908.7,6892,2203623.0,9122.0,9.6,0.3,79.1,-0.18,-116.1,0.0,0.0,183.4,7.8,7.4
U.S.,St. Louis Mo.,Health Care: Insurance and Managed Care,Michael F. Neidorff,https://www.centene.com,Public,CNC,74639.0,1321.0,34862.4,56600,40994.0,12551.0,1.8,3.2,10.5,3.14,38.9,22.8,20.9,9.1,19.3,28.1
U.S.,Mooresville N.C.,Specialty Retailers: Other,Marvin R. Ellison,https://www.lowes.com,Public,LOW,72148.0,4281.0,64963.3,260000,39471.0,1972.0,5.9,10.8,217.1,5.49,93.3,15.2,16.3,32.3,13.7,19.9
U.S.,Santa Clara Calif.,Semiconductors and Other Electronic Components,Robert H. Swan,https://www.intel.com,Public,INTC,71965.0,21048.0,231661.9,110800,136524.0,77504.0,29.2,15.4,27.2,4.71,5.1,15.3,19.9,30.8,13.6,14.9
U.S.,Menlo Park Calif.,Internet Services and Retailing,Mark Zuckerberg,https://www.facebook.com,Public,FB,70697.0,18485.0,475455.2,44942,133376.0,101054.0,26.1,13.9,18.3,6.43,-15.1,42.4,0.0,56.6,21.3,0.0
U.S.,Memphis Tenn.,Mail Package and Freight Delivery,Frederick W. Smith,https://www.fedex.com,Public,FDX,69693.0,540.0,31679.1,389500,54403.0,17757.0,0.8,1.0,3.0,2.03,-87.9,-21.4,20.7,-4.8,-1.8,6.9
U.S.,New York N.Y.,Insurance: Life Health (stock),Michel A. Khalaf,https://www.metlife.com,Public,MET,69620.0,5899.0,27996.9,49000,740463.0,66144.0,8.5,0.8,8.9,6.06,23.4,2.3,0.0,28.7,4.5,7.9
U.S.,Burbank Calif.,Entertainment,Robert A. Chapek,https://www.thewaltdisneycompany.com,Public,DIS,69570.0,11054.0,174405.4,223000,193984.0,88877.0,15.9,5.7,12.4,6.64,-20.6,9.3,14.2,33.7,10.5,17.8
U.S.,Cincinnati Ohio,Household and Personal Products,David S. Taylor,https://www.pg.com,Public,PG,67684.0,3897.0,271639.8,97000,115095.0,47194.0,5.8,3.4,8.3,1.43,-61.0,-18.6,-10.3,39.6,9.9,10.9
U.S.,Purchase N.Y.,Food Consumer Products,Ramon L. Laguarta,https://www.pepsico.com,Public,PEP,67161.0,7314.0,166847.8,267000,78547.0,14786.0,10.9,9.3,49.5,5.2,-40.8,4.0,3.3,27.5,10.9,11.7
U.S.,Louisville Ky.,Health Care: Insurance and Managed Care,Bruce D. Broussard,https://www.humana.com,Public,HUM,64888.0,2707.0,41489.5,46000,29074.0,12037.0,4.2,9.3,22.5,20.1,65.3,22.3,12.6,28.9,21.4,24.6
U.S.,Newark N.J.,Insurance: Life Health (stock),Charles F. Lowrey,https://www.prudential.com,Public,PRU,64807.0,4186.0,20649.7,51511,896552.0,63115.0,6.5,0.5,6.6,10.11,6.4,25.6,2.9,19.9,4.2,9.8
U.S.,Chicago Ill.,Food Production,Juan R. Luciano,https://www.adm.com,Public,ADM,64656.0,1379.0,19602.6,38100,43997.0,19208.0,2.1,3.1,7.2,2.44,-23.5,-6.6,-0.8,16.9,0.6,6.7
U.S.,Houston Texas,Wholesalers: Food and Grocery,Kevin P. Hourican,https://www.sysco.com,Public,SYY,60113.9,1674.3,23203.2,69000,17966.5,2502.6,2.8,9.3,66.9,3.2,18.5,15.2,6.1,39.6,19.6,15.2
U.S.,Bethesda Md.,Aerospace & Defense,James D. Taiclet,https://www.lockheedmartin.com,Public,LMT,59812.0,6230.0,95539.3,110000,47528.0,3127.0,10.4,13.1,199.2,21.95,24.8,14.4,10.9,52.5,18.3,21.8
U.S.,Palo Alto Calif.,Computers Office Equipment,Enrique J. Lores,https://www.hp.com,Public,HPQ,58756.0,3152.0,24820.7,56000,33467.0,-1193.0,5.4,9.4,0.0,2.07,-36.5,-4.6,-4.1,3.7,4.1,0.4
U.S.,Dallas Texas,Pipelines,Kelcy L. Warren,https://www.energytransfer.com,Public,ET,54213.0,3592.0,12373.5,12812,98880.0,21827.0,6.6,3.6,16.5,1.36,18.3,18.8,10.6,6.1,-8.5,12.0
U.S.,New York N.Y.,Commercial Banks,David M. Solomon,https://www.goldmansachs.com,Public,GS,53922.0,8466.0,55416.7,38300,992968.0,90265.0,15.7,0.9,9.4,21.03,-16.8,4.3,-0.5,40.4,5.1,4.6
U.S.,New York N.Y.,Commercial Banks,James P. Gorman,https://www.morganstanley.com,Public,MS,53823.0,9042.0,52101.5,60431,895429.0,81549.0,16.8,1.0,11.1,5.19,9.7,26.5,0.0,32.8,8.0,7.3
U.S.,Deerfield Ill.,Construction and Farm Machinery,D. James Umpleby III,https://www.caterpillar.com,Public,CAT,53800.0,6093.0,63831.6,102300,78453.0,14588.0,11.3,7.8,41.8,10.74,4.7,12.8,22.3,19.7,13.5,13.0
U.S.,San Jose Calif.,Network and Other Communications Equipment,Charles H. Robbins,https://www.cisco.com,Public,CSCO,51904.0,11621.0,166709.0,75900,97793.0,33571.0,22.4,11.9,34.6,2.61,12950.0,11.9,9.5,13.7,15.0,9.9
U.S.,New York N.Y.,Pharmaceuticals,Albert Bourla,https://www.pfizer.com,Public,PFE,51750.0,16273.0,181074.9,88300,167489.0,63143.0,31.4,9.7,25.8,2.87,53.5,15.1,8.8,-7.0,8.5,12.0
U.S.,Nashville Tenn.,Health Care: Medical Facilities,Samuel N. Hazen,https://www.hcahealthcare.com,Public,HCA,51336.0,3505.0,30411.4,245000,45058.0,-2808.0,6.8,7.8,0.0,10.07,-5.5,19.3,0.0,20.2,15.6,0.0
U.S.,New York N.Y.,Insurance: Property and Casualty (Stock),Brian Duperreault,https://www.aig.com,Public,AIG,49746.0,3348.0,20886.3,46000,525064.0,65675.0,6.7,0.6,5.1,3.74,0.0,-6.4,0.0,33.6,0.4,8.8
U.S.,New York N.Y.,Diversified Financials,Stephen J. Squeri,https://www.americanexpress.com,Public,AXP,47020.0,6759.0,68982.7,64500,198321.0,23071.0,14.4,3.4,29.3,7.99,1.0,7.5,17.9,32.4,7.6,13.5
U.S.,Atlanta Ga.,Airlines,Edward H. Bastian,https://www.delta.com,Public,DAL,47007.0,4767.0,18261.9,91224,64532.0,15358.0,10.1,7.4,31.0,7.3,28.7,56.4,0.0,20.5,5.5,19.1
U.S.,Kenilworth N.J.,Pharmaceuticals,Kenneth C. Frazier,https://www.merck.com,Public,MRK,46840.0,9843.0,195140.5,71000,84397.0,25907.0,21.0,11.7,38.0,3.81,64.2,-1.3,-3.9,22.3,13.3,13.4
U.S.,Fort Worth Texas,Airlines,W. Douglas Parker,https://www.aa.com,Public,AAL,45768.0,1686.0,5193.7,133700,59995.0,-118.0,3.7,2.8,0.0,3.79,25.1,-0.7,0.0,-9.5,-10.9,0.0
U.S.,Stamford Conn.,Telecommunications,Thomas M. Rutledge,https://www.charter.com,Public,CHTR,45764.0,1668.0,111924.0,95100,148188.0,31445.0,3.6,1.1,5.3,7.45,42.7,0.0,0.0,70.2,21.4,28.6
U.S.,Northbrook Ill.,Insurance: Property and Casualty (Stock),Thomas J. Wilson,https://www.allstate.com,Public,ALL,44675.0,4847.0,29070.5,46035,119950.0,25998.0,10.8,4.0,18.6,14.03,135.4,17.5,24.4,39.0,12.0,16.6
U.S.,Richfield Minn.,Specialty Retailers: Other,Corie Barry,https://www.bestbuy.com,Public,BBY,43638.0,1541.0,14647.4,125000,15591.0,3479.0,3.5,9.9,44.3,5.75,10.6,10.5,6.4,69.3,21.4,11.4
U.S.,Chicago Ill.,Airlines,J. Scott Kirby,https://www.united.com,Public,UAL,43259.0,3009.0,7822.9,96000,52611.0,11531.0,7.0,5.7,26.1,11.58,50.4,31.6,0.0,5.2,5.7,21.2
U.S.,Midland Mich.,Chemicals,James R. Fitterling,https://www.dow.com,Public,DOW,42951.0,-1359.0,21716.0,36500,60524.0,13541.0,-3.2,-2.2,-10.0,-1.84,0.0,0.0,0.0,0.0,0.0,0.0
U.S.,Springdale Ark.,Food Production,Noel White,https://www.tysonfoods.com,Public,TSN,42405.0,2022.0,21124.8,141000,33097.0,14082.0,4.8,6.1,14.4,5.52,-32.6,18.4,0.0,73.8,19.6,23.7
U.S.,Framingham Mass.,Specialty Retailers: Apparel,Ernie L. Herrman,https://www.tjx.com,Public,TJX,41717.0,3272.2,57262.0,286000,24145.0,5948.2,7.8,13.6,55.0,2.67,9.9,11.1,14.2,38.7,13.9,22.5
U.S.,Redwood City Calif.,Computer Software,Safra A. Catz,https://www.oracle.com,Public,ORCL,39506.0,11083.0,152412.7,136000,108709.0,21785.0,28.1,10.2,50.9,2.97,230.0,4.5,10.5,19.3,4.9,9.4
