Rank,Name,Revenue ($M),Revenue % change,Profit ($M),Profit % change,Assets ($M),Market Value ($M),Change in rank (1000),Employees,Change in rank (500),Year,Female CEO,Founder CEO
1,Walmart,"$485,873",0.8%,"$13,643",-7.2%,"$198,825","$218,619",-,"2,300,000",-,2017,0,0
2,Berkshire Hathaway,"$223,604",6.1%,"$24,074",0.0%,"$620,854","$411,035",2,"367,700",2,2017,0,0
3,Apple,"$215,639",-7.7%,"$45,687",-14.4%,"$321,686","$753,718",-,"116,000",-,2017,0,0
4,Exxon Mobil,"$205,004",-16.7%,"$7,840",-51.5%,"$330,314","$340,056",-2,"72,700",-2,2017,0,0
5,McKesson,"$192,487",6.2%,"$2,258",53%,"$56,563","$31,439",-,"68,000",-,2017,0,0
6,UnitedHealth Group,"$184,840",17.7%,"$7,017",20.7%,"$122,810","$157,793",-,"230,000",-,2017,0,0
7,CVS Health,"$177,526",15.8%,"$5,317",1.5%,"$94,462","$81,310",-,"204,000",-,2017,0,0
8,General Motors,"$166,380",9.2%,"$9,427",-2.7%,"$221,690","$52,968",-,"225,000",-,2017,0,0
9,AT&T,"$163,786",11.6%,"$12,976",-2.8%,"$403,821","$255,679",1,"268,540",1,2017,0,0
10,Ford Motor,"$151,800",1.5%,"$4,596",-37.7%,"$237,951","$46,349",-1,"201,000",-1,2017,0,0
11,AmerisourceBergen,"$146,850",8%,"$1,427.9",-,"$33,656","$19,229",1,"18,500",1,2017,0,0
12,Amazon.com,"$135,987",27.1%,"$2,371",297.8%,"$83,402","$423,031",6,"341,400",6,2017,0,0
13,General Electric,"$126,661",-9.8%,"$8,831",-,"$365,183","$259,520",-2,"295,000",-2,2017,0,0
14,Verizon Communications,"$125,980",-4.3%,"$13,127",-26.6%,"$244,180","$198,900",-1,"160,900",-1,2017,0,0
15,Cardinal Health,"$121,546",18.5%,"$1,427",17.4%,"$34,122","$25,725",6,"37,300",6,2017,0,0
16,Costco,"$118,719",2.2%,"$2,350",-1.1%,"$33,163","$73,606",-1,"172,000",-1,2017,0,0
17,Walgreens Boots Alliance,"$117,351",13.4%,"$4,173",-1.1%,"$72,688","$89,645",2,"300,000",2,2017,0,0
18,Kroger,"$115,337",5%,"$1,975",-3.1%,"$36,505","$26,961",-1,"443,000",-1,2017,0,0
19,Chevron,"$107,567",-18%,$-497,-110.8%,"$260,078","$203,263",-5,"55,200",-5,2017,0,0
20,Fannie Mae,"$107,162",-2.9%,"$12,313",12.4%,"$3,287,968","$3,011",-4,"7,000",-4,2017,0,0
21,J.P. Morgan Chase,"$105,486",4.4%,"$24,733",1.2%,"$2,490,972","$313,761",2,"243,355",2,2017,0,0
22,Express Scripts Holding,"$100,288",-1.4%,"$3,404.4",37.5%,"$51,745","$39,567",-,"25,600",-,2017,0,0
23,Home Depot,"$94,595",6.9%,"$7,957",13.5%,"$42,966","$176,368",5,"406,000",5,2017,0,0
24,Boeing,"$94,571",-1.6%,"$4,895",-5.4%,"$89,997","$107,546",-,"150,540",-,2017,0,0
25,Wells Fargo,"$94,176",4.6%,"$21,938",-4.2%,"$1,930,115","$278,516",2,"269,100",2,2017,0,0
26,Bank of America Corp.,"$93,662",0.7%,"$17,906",12.7%,"$2,187,702","$236,182",-,"208,024",-,2017,0,0
27,Alphabet,"$90,272",20.4%,"$19,478",19.1%,"$167,497","$579,426",9,"72,053",9,2017,0,0
28,Microsoft,"$85,320",-8.8%,"$16,798",37.8%,"$193,694","$508,935",-3,"114,000",-3,2017,0,0
29,Anthem,"$84,863",7.2%,"$2,469.8",-3.5%,"$65,083","$43,813",4,"53,000",4,2017,0,0
30,Citigroup,"$82,386",-6.7%,"$14,912",-13.5%,"$1,792,077","$165,394",-1,"219,000",-1,2017,0,0
31,Comcast,"$80,403",7.9%,"$8,695",6.5%,"$180,500","$178,258",6,"159,000",6,2017,0,0
32,IBM,"$79,919",-3.1%,"$11,872",-10%,"$117,470","$164,251",-1,"414,400",-1,2017,0,0
33,State Farm Insurance Cos.,"$76,132",0.6%,$350.3,-94.4%,"$256,030",-,2,"68,234",2,2017,0,0
34,Phillips 66,"$72,396",-16.9%,"$1,555",-63.2%,"$51,653","$40,954",-4,"14,800",-4,2017,0,0
35,Johnson & Johnson,"$71,890",2.6%,"$16,540",7.3%,"$141,208","$337,642",4,"126,400",4,2017,0,0
36,Procter & Gamble,"$71,726",-8.9%,"$10,508",49.3%,"$127,136","$229,700",-2,"105,000",-2,2017,0,0
